,genre
0,N\A
1,N\A
2,Point-and-click
3,N\A
4,Fighting
5,Shooter
6,N\A
7,Music
8,Platform
9,Puzzle
10,Racing
11,Real Time Strategy (RTS)
12,Role-playing (RPG)
13,Simulator
14,Sport
15,Strategy
16,Turn-based strategy (TBS)
17,N\A
18,N\A
19,N\A
20,N\A
21,N\A
22,N\A
23,N\A
24,Tactical
25,Hack and slash/Beat 'em up
26,Quiz/Trivia
27,N\A
28,N\A
29,N\A
30,Pinball
31,Adventure
32,Indie
33,Arcade
