,userIndex,gameID,rating
0,0.0,0.0,5.0
1,0.0,1.0,5.0
2,0.0,2.0,4.0
3,0.0,3.0,4.0
4,0.0,4.0,3.0
5,0.0,5.0,3.0
6,0.0,6.0,3.0
7,0.0,7.0,3.0
8,0.0,8.0,3.0
9,0.0,9.0,3.0
10,0.0,10.0,3.0
11,0.0,11.0,3.0
12,0.0,12.0,2.0
13,0.0,13.0,2.0
14,0.0,14.0,2.0
15,0.0,15.0,2.0
16,0.0,16.0,2.0
17,0.0,17.0,2.0
18,0.0,18.0,2.0
19,0.0,19.0,2.0
20,0.0,20.0,2.0
21,0.0,21.0,2.0
22,0.0,22.0,2.0
23,0.0,23.0,1.0
24,0.0,24.0,1.0
25,0.0,25.0,1.0
26,1.0,21.0,3.0
27,2.0,26.0,5.0
28,2.0,27.0,5.0
29,2.0,0.0,5.0
30,2.0,28.0,4.0
31,2.0,29.0,4.0
32,2.0,30.0,4.0
33,2.0,31.0,3.0
34,2.0,32.0,3.0
35,2.0,33.0,3.0
36,2.0,34.0,3.0
37,2.0,35.0,3.0
38,2.0,36.0,3.0
39,2.0,37.0,3.0
40,2.0,38.0,3.0
41,2.0,39.0,3.0
42,2.0,40.0,2.0
43,2.0,42.0,2.0
44,2.0,43.0,1.0
45,2.0,44.0,1.0
46,2.0,45.0,1.0
47,2.0,9.0,1.0
48,3.0,46.0,5.0
49,3.0,47.0,5.0
50,3.0,4.0,5.0
51,3.0,48.0,5.0
52,3.0,49.0,5.0
53,3.0,50.0,5.0
54,3.0,51.0,4.0
55,3.0,52.0,4.0
56,3.0,53.0,4.0
57,3.0,54.0,4.0
58,3.0,44.0,4.0
59,3.0,55.0,4.0
60,3.0,56.0,4.0
61,3.0,57.0,4.0
62,3.0,58.0,4.0
63,3.0,59.0,4.0
64,3.0,60.0,4.0
65,3.0,61.0,4.0
66,3.0,62.0,4.0
67,3.0,63.0,4.0
68,3.0,64.0,4.0
69,3.0,65.0,4.0
70,3.0,66.0,4.0
71,3.0,67.0,4.0
72,3.0,68.0,4.0
73,3.0,69.0,4.0
74,3.0,70.0,4.0
75,3.0,71.0,4.0
76,3.0,72.0,4.0
77,3.0,73.0,4.0
78,3.0,74.0,4.0
79,3.0,75.0,4.0
80,3.0,76.0,4.0
81,3.0,77.0,4.0
82,3.0,78.0,4.0
83,3.0,79.0,3.0
84,3.0,80.0,3.0
85,3.0,81.0,3.0
86,3.0,82.0,3.0
87,3.0,37.0,3.0
88,3.0,83.0,3.0
89,3.0,84.0,3.0
90,3.0,85.0,3.0
91,3.0,86.0,3.0
92,3.0,87.0,3.0
93,3.0,88.0,3.0
94,3.0,3.0,3.0
95,3.0,90.0,3.0
96,3.0,91.0,3.0
97,3.0,92.0,3.0
98,3.0,93.0,3.0
99,3.0,94.0,3.0
100,3.0,95.0,3.0
101,3.0,96.0,3.0
102,3.0,97.0,3.0
103,3.0,98.0,3.0
104,3.0,28.0,3.0
105,3.0,99.0,3.0
106,3.0,100.0,3.0
107,3.0,101.0,3.0
108,3.0,102.0,3.0
109,3.0,103.0,3.0
110,3.0,104.0,3.0
111,3.0,105.0,3.0
112,3.0,106.0,3.0
113,3.0,107.0,3.0
114,3.0,108.0,3.0
115,3.0,109.0,3.0
116,3.0,110.0,3.0
117,3.0,111.0,3.0
118,3.0,112.0,3.0
119,3.0,113.0,3.0
120,3.0,114.0,3.0
121,3.0,115.0,3.0
122,3.0,116.0,3.0
123,3.0,117.0,3.0
124,3.0,118.0,3.0
125,3.0,120.0,3.0
126,3.0,121.0,3.0
127,3.0,122.0,3.0
128,3.0,123.0,3.0
129,3.0,124.0,3.0
130,3.0,126.0,3.0
131,3.0,127.0,3.0
132,3.0,128.0,3.0
133,3.0,129.0,3.0
134,3.0,130.0,2.0
135,3.0,131.0,2.0
136,3.0,132.0,2.0
137,3.0,133.0,2.0
138,3.0,134.0,2.0
139,3.0,135.0,2.0
140,3.0,136.0,2.0
141,3.0,8.0,2.0
142,3.0,137.0,2.0
143,3.0,17.0,2.0
144,3.0,138.0,2.0
145,3.0,139.0,2.0
146,3.0,140.0,2.0
147,3.0,141.0,2.0
148,3.0,29.0,2.0
149,3.0,142.0,2.0
150,3.0,143.0,2.0
151,3.0,144.0,2.0
152,3.0,145.0,2.0
153,3.0,146.0,2.0
154,3.0,147.0,2.0
155,3.0,148.0,2.0
156,3.0,149.0,2.0
157,3.0,150.0,2.0
158,3.0,151.0,2.0
159,3.0,152.0,2.0
160,3.0,153.0,2.0
161,3.0,154.0,2.0
162,3.0,155.0,2.0
163,3.0,156.0,2.0
164,3.0,157.0,2.0
165,3.0,22.0,2.0
166,3.0,158.0,2.0
167,3.0,159.0,2.0
168,3.0,160.0,2.0
169,3.0,161.0,2.0
170,3.0,162.0,2.0
171,3.0,163.0,2.0
172,3.0,164.0,2.0
173,3.0,165.0,2.0
174,3.0,166.0,2.0
175,3.0,167.0,2.0
176,3.0,168.0,2.0
177,3.0,169.0,2.0
178,3.0,170.0,2.0
179,3.0,33.0,2.0
180,3.0,171.0,2.0
181,3.0,172.0,2.0
182,3.0,173.0,2.0
183,3.0,174.0,2.0
184,3.0,175.0,2.0
185,3.0,176.0,2.0
186,3.0,2.0,2.0
187,3.0,177.0,2.0
188,3.0,178.0,2.0
189,3.0,179.0,2.0
190,3.0,180.0,2.0
191,3.0,181.0,2.0
192,3.0,183.0,1.0
193,3.0,184.0,1.0
194,3.0,185.0,1.0
195,3.0,186.0,1.0
196,3.0,187.0,1.0
197,3.0,188.0,1.0
198,3.0,189.0,1.0
199,3.0,190.0,1.0
